ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0072683,T cell extravasation,13/15173,13/18866,0.05883746,0.160800948,0.110924148,CCL2/CCR2/CD99/CD99L2/CRK/CRKL/F11R/FADD/ICAM1/IL27RA/ITGAL/RIPK3/XG,13
GO:0002363,alpha-beta T cell lineage commitment,20/15173,21/18866,0.062900752,0.16899214,0.116574619,BATF/BCL2/CTSL/FOXP3/IL12RB1/IL23A/IL23R/IL6/IRF4/LOXL3/LY9/MTOR/RHOA/SLAMF6/SPN/STAT3/STAT6/TBX21/TOX/ZFPM1,20
GO:0046641,positive regulation of alpha-beta T cell proliferation,20/15173,21/18866,0.062900752,0.16899214,0.116574619,CCR2/CD28/CD3E/CD55/CD81/EBI3/HLA-A/HLA-E/IL18/IL23A/LGALS9/PTPN22/PTPRC/RASAL3/RIPK2/SYK/TGFBR2/TNFSF4/XCL1/ZAP70,20
GO:0001916,positive regulation of T cell mediated cytotoxicity,26/15173,28/18866,0.067635825,0.180126831,0.124255581,B2M/CD1A/CD1B/CD1C/CD1D/CD1E/CYRIB/FADD/HLA-A/HLA-B/HLA-E/HLA-F/HLA-G/HLA-H/IL12A/IL12RB1/IL23A/IL23R/MR1/NECTIN2/P2RX7/PTPRC/PVR/SLC22A13/STX7/XCL1,26
GO:0002360,T cell lineage commitment,26/15173,28/18866,0.067635825,0.180126831,0.124255581,BATF/BCL2/CTSL/CYLD/FOXP3/IL12RB1/IL23A/IL23R/IL6/IL7/IRF4/LOXL3/LY9/MTOR/PRKDC/RAG2/RHOA/SHH/SLAMF6/SPN/STAT3/STAT6/TBX21/TOX/TP53/ZFPM1,26
GO:0002517,T cell tolerance induction,12/15173,12/18866,0.073169413,0.18855195,0.13006742,AIRE/CD3E/CLC/FOXP3/HLA-B/HLA-G/ICOS/IDO1/IL2RA/LILRB2/PHLPP1/TGFBR2,12
GO:0042492,gamma-delta T cell differentiation,12/15173,12/18866,0.073169413,0.18855195,0.13006742,CCR9/EGR3/GPR18/JAG2/LEF1/NCKAP1L/PTPRC/SOX13/SOX4/STAT5B/SYK/TCF7,12
GO:0043383,negative T cell selection,12/15173,12/18866,0.073169413,0.18855195,0.13006742,AIRE/ATG5/CCR7/CD28/CD3E/CD74/DOCK2/GLI3/PTPRC/SHH/THEMIS/ZAP70,12
GO:0070232,regulation of T cell apoptotic process,31/15173,34/18866,0.078013158,0.198670656,0.137047533,ADA/ADAM8/ARG2/BMP4/CCL5/CD27/CD274/DOCK8/EFNA1/FADD/GIMAP8/GPAM/HIF1A/IDO1/IL7R/JAK3/LGALS14/LGALS3/LGALS9/NFKBID/PDCD1/PRELID1/PRKCQ/PTCRA/RAG1/RIPK3/SLC46A2/TP53/TSC22D3/WNT5A/ZC3H8,31
GO:0033081,regulation of T cell differentiation in thymus,25/15173,27/18866,0.078984826,0.200360026,0.138212899,ADA/ADAM8/BMP4/CAMK4/CLPTM1/EGR3/ERBB2/FOXJ1/FOXP3/IHH/IL1A/IL1B/IL7R/NFKBID/PTPN2/RASGRP1/SHH/SOD1/SOS1/TESPA1/TMEM131L/TOX/VNN1/ZC3H8/ZEB1,25
