"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"ENSG00000273287",0,0.240859,0.0788988,0.16019,0,0,0,0,0.364352,0.0748512,0.20332,0.0764505,0.756387
"ENSG00000273289",0,0,0,0.357961,0,0,0,0,0,0.665966,0,0,0
"ENSG00000273291",0,0,0,0,0,0.361969,0,0.746206,0,0,0,0,0
"ENSG00000273293",0,0,0,0,0,0,0,1.48359,0,0,0,0,1.98708
"ENSG00000273295",0.0999916,0,0,0,0,0.11223,0.0749924,0.365266,0.0292416,0.0901726,0,0.0153383,0.539946
"ENSG00000273297",4.20497,2.58498,1.20092,0,0,5.35892,0.348152,0.47751,0,4.982868,5.124058,0,3.01915
"ENSG00000273300",5.47513,0.124767,5.85363,6.32381,10.5583,2.37367,6.64179,8.10019,4.70872,3.52128,4.68824,0.805633,8.38162
"ENSG00000273301",0,0,0,0,0,0,0.165107,0,0,0,0,0,0
"ENSG00000273302",0.81525,0.973024,3.94976,3.75581,4.12802,1.61892,1.5488,2.7312,0.140323,2.18557,0.42133,0.588983,1.13653
"ENSG00000273305",0,0,0,0,0,0,0.578588,0,0,0,0,0.904317,0
"ENSG00000273306",7.02225,0,8.99832,6.97275,3.0537,3.77335,3.00975,2.02663,2.57533,6.90911,1.11583,6.44586,5.03517
"ENSG00000273308",0.672817,0,0.635267,2.5804,1.94899,0,2.33279,1.99756,0,1.19432,0,0,0
"ENSG00000273312",0,0.0568279,0.100929,0.0962413,0.203996,0.286269,0.0583262,0.235417,0.115654,0.0545461,0.0711769,0.107775,0.422663
"ENSG00000273314",0.228854,0,0.26088,0,0.396054,0.0834989,0.575365,0.273513,0.200699,0.206236,0.223439,0.0518866,0.118787
"ENSG00000273319",28.0001,17.9991,27.6898,22.8099,12.0053,17.2763,11.4728,22.3352,7.19198,8.02745,13.0047,11.8746,27.4262
"ENSG00000273320",8.45622,7.52815,6.63083,5.79814,8.27715,12.0818,17.2731,3.77101,0.255318,2.21413,1.07305,14.2053,2.66884
"ENSG00000273321",0,1.03709,0,0,2.59692,0.448225,0,0,0,0,0,0,0.705907
"ENSG00000273325",0,0,0,0,3.88515,0,0,0,0,0,0,0,2.1202
"ENSG00000273328",0.678243,0.42868461,0.190888,0.146643,0.293857,0.0891133,0.16589,0.216951,0.130464,0.2664345,0.181799,0.408464,0.241833
"ENSG00000273329",1.35916,0.436393,0.198034,0.96874,1.15825,0.617996,0.721155,1.3763,1.25205,1.18801,2.15759,0.395019,1.27069
"ENSG00000273333",0.220773,0,0,0.552894,0,0,0.0715507,0,0,0,0.185525,0,0
"ENSG00000273335",1.5101,0,0,1.93637,1.69674,0.62813,0,0,0,0.225649,0.620568,0.461895,0.329353
"ENSG00000273338",22.6613,29.7632,35.2846,18.5286,15.7773,12.0406,52.8438,12.7438,21.0558,7.15949,22.0243,21.9696,21.3795
"ENSG00000273341",0.357327,1.54944,3.04456,0,0,0.447404,0.477945,0.540958,0.469075,1.06052,0.219519,0.820565,0
"ENSG00000273343",2.98209,1.08805,1.49673,2.27024,5.99191,0.923186,3.25211,1.33438,1.17396,3.55209,5.23407,1.60918,0.397679
"ENSG00000273345",1.43085,3.02974,3.55069,6.41511,2.51732,1.14512,1.31154,1.63147,1.31808,0.501349,0.1157,2.98599,4.77962
"ENSG00000273348",0,0,0,0,0,0,0,0.485306,0,0,1.21275,0,0
"ENSG00000273350",2.52055,9.17821,6.66397,6.29911,1.94668,10.8245,5.72316,3.00105,3.07106,1.7982,5.62706,13.8041,12.6171
"ENSG00000273353",0,1.53027,1.5129,0,0,1.31422,1.38189,0,0.692737,0,0,0.726225,0
"ENSG00000273355",1.40408,0,3.65079,0,0.677087,2.32965,0.6175,0.348739,0.919474,0.628341,0,2.57575,2.76805
"ENSG00000273361",0,0.345205,0,0.691214,0.346475,1.48944,0,0,1.05363,1.89349,0.889375,0,0.472264
"ENSG00000273362",0,0,0,0.216009,0,0,0.392563,0.291613,0,0,0.287581,0.382396,0
"ENSG00000273363",0,0.275476,0,0.275499,0.828254,0,0,1.13867,0,2.05335,0,0,0.750771
"ENSG00000273365",1.08053,1.36744,0.681912,5.8931,1.68351,1.05221,0.595292,2.43155,1.73358,0.48526,2.65541,0.330828,1.88032
"ENSG00000273367",1.13262,0,0.856982,0.217899,0,0.566002,0.601949,1.57627,1.98102,0.812837,0,0,0
"ENSG00000273368",0,0,0,0,0,1.04644,0.555159,0,0,0.282202,0.389432,0,0
"ENSG00000273369",6.25524,3.60273,5.12048,2.40508,0.402314,4.14225,2.92274,4.13995,3.27023,5.59052,4.13404,1.90824,3.84252
"ENSG00000273373",0.722096,1.03069,2.05845,0.662947,1.09086,0.462682,1.05069,2.53452,0.422236,1.85973,1.25819,0.0949204,1.15952
"ENSG00000273374",0.710711,0.460874,0.375689,0.431201,0.520358,0.579834,0.426131,1.2488,0.505506,0.769348,0.400295,0.8057,0.656069
"ENSG00000273375",1.63256,0,0.386167,1.37444,0,3.06225,1.08609,1.42031,1.24972,0,0.251012,0.936943,1.86617
"ENSG00000273381",0.100884,0.30163,0.179632,0.195833,0.193697,0.0429709,0.226572,0.260782,0.549547,0.111247,0.0328982,0.188879,0.140413
"ENSG00000273384",0,0.744963,0.24399,0,0,0,0.228103,1.79523,0.225583,0.231395,0,1.42091,1.35126
"ENSG00000273387",0,0.663349,0,0,0.146769,0.512233,0,0.455843,0,0.412292,0,0.771959,0.396606
"ENSG00000273391",0.292996,2.81634,2.21475,0,0.564629,0,3.10048,0,0,0,0,0.268718,0
"ENSG00000273398",0,0,0,0,0.181062,0.902923,0,0,0.134485,0,0,0.0649865,0
"ENSG00000273399",0.811218,0,0,2.07994,0,0,0,0,0,0.4847,0,0,2.47807
"ENSG00000273402",1.58966,2.62347,2.14782,1.52912,1.09334,0,3.82169,3.8377,1.58876,1.22231,2.51701,0.208453,0.593868
"ENSG00000273403",0,0,0.570139,0,0,0,0,0,0,0,0,0,0
"ENSG00000273406",0,0,0,0,0,0,0,0.32493,0,0,1.24596,0.922338,0
"ENSG00000273407",0,0,0,0,1.29145,0,0,0,0,2.37516,0,0,0
